web-scraper-order,web-scraper-start-url,pagination,link,link-href,address,price,beds,baths,sqft,DOM,year,lot_size,estimate,est_monthly_payment,parking,pool,school_dist,zoning,views,favorites,outs,walk_score,transit_score,bike_score,hoa_dues
1638406638-400,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1143-E-82nd-St-90001/home/7288048,"1143 E 82nd St,","$524,900.00",3,1,966,Time on Redfin5 hours,1925,"5,178 Sq. Ft.","$525,346.00","$2,378.00",1,Pool Features: None,High School District: Los Angeles Unified,Co-List Agent Last Name: Reimer,345,34,0,75 / 100,60 / 100,61 / 100,
1638406583-379,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/602-N-Genesee-Ave-90036/home/7103759,"602 N Genesee Ave,","$1,250,000.00",2,2,"1,024",Time on Redfin7 days,1924,C19 - Beverly Center-Miracle Mile,"$1,221.00","$5,663.00",1,Foundation Details: Raised,Elementary School: Laurel,Has Fence,"2,377",136,4,93 / 100,53 / 100,67 / 100,
1638406123-252,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Sherman-Oaks/14732-Albers-St-91411/home/4743741,"14732 Albers St,","$1,350,000.00",3,2,"1,509",Time on Redfin8 days,1948,SO - Sherman Oaks,"$1,351,588.00","$6,116.00","Dishwasher, Gas Range, Refrigerator",Foundation Details: Concrete Slab,High School District: Los Angeles Unified,# of Parking Spaces: 2,"2,519",63,5,66 / 100,49 / 100,57 / 100,
1638405097-91,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/3209-W-71st-St-90043/home/6417531,"3209 W 71st St,","$799,000.00",4,1.5,"1,567",Time on Redfin33 days,1929,Park Hills Heights,"$802,319.00","$3,620.00",None,# of Parking Spaces (Total): 2,Roof: Tile,Detached/No Common Walls,"5,605",208,12,75 / 100,55 / 100,53 / 100,
1638405393-135,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/1520-W-68th-St-90047/home/7279637,"1520 W 68th St,","$610,000.00",3,1,"1,280",Time on Redfin11 days,1922,Los Angeles Southwest,"$595,062.00","$2,764.00",Laundry Area,Assessor Parcel Number: 6015-023-011,Other Structures: None,,636,16,5,61 / 100,59 / 100,50 / 100,
1638406382-301,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Los-Angeles/9702-Cisco-St-90034/home/6791773,"9702 Cisco St,","$1,995,000.00",2,2,"1,943",Time on Redfin3 days,1949,Traditional,"$2,077,186.00","$9,117.00",Laundry Room,Fee #1: $948.21,Other Structures: None,,"1,206",68,7,36 / 100,36 / 100,27 / 100,
1638406661-409,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Beverly-Hills/1352-Braeridge-Dr-90210/home/6823419,"1352 Braeridge Dr,","$3,095,000.00",4,4,"3,584",Time on Redfin4 hours,1999,Beverly Hills Post Office,"$3,089,840.00","$14,022.00",Laundry in Unit,"Above Ground Spa, Heated Spa",Assessor Parcel Number: 4355-006-057,,515,16,2,1 / 100,0 / 100,1 / 100,
1638405316-123,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Northridge/18334-Hiawatha-St-91326/home/5819094,"18334 Hiawatha St,","$1,198,000.00",3,2,"1,890",Time on Redfin12 days,1958,NR - Northridge,"$1,258,627.00","$5,428.00","Gas, See Remarks, Living Room",Common Walls: No Common Walls,,Has Parking,"7,915",429,8,69 / 100,41 / 100,62 / 100,
1638405706-186,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Van-Nuys/15749-Enadia-Way-91406/home/4491643,"15749 Enadia Way,","$825,000.00",3,2,"1,675",Time on Redfin8 days,1950,Ranch,"$893,616.00","$3,738.00",2,# of Parking Spaces (Total): 2,"Patio Features: Concrete Slab, Covered Porch, Enclosed, Patio Open, Slab",Detached/No Common Walls,"5,244",368,9,50 / 100,47 / 100,54 / 100,
1638406424-317,https://www.redfin.com/city/11203/CA/Los-Angeles/filter/property-type=house,,,https://www.redfin.com/CA/Arleta/14214-Terra-Bella-St-91331/home/5644511,"14214 Terra Bella St,","$860,000.00",3,2,"1,481",Time on Redfin2 days,1952,Arleta,"$870,577.00","$3,896.00",2642-003-003,# of Parking Spaces (Total): 2,In Ground Pool,"Security Features: Carbon Monoxide Detector(s), Smoke Detector","1,066",52,1,61 / 100,46 / 100,74 / 100,
